1177,0.01208449,-1.418906E-07,-9.7547E-07,Infinity,Infinity,Infinity,Infinity,Infinity,
1327,0.01376034,3.477349E-11,-9.84675E-07,NaN,NaN,NaN,NaN,NaN,
1329,0.04510035,4.239218E-11,-9.845903E-07,NaN,NaN,NaN,NaN,NaN,
1331,0.06542984,4.223599E-11,-9.845058E-07,NaN,NaN,NaN,NaN,NaN,
1333,0.06975261,3.840061E-11,-9.84429E-07,NaN,NaN,NaN,NaN,NaN,
1335,0.05709757,2.885555E-11,-9.843712E-07,NaN,NaN,NaN,NaN,NaN,
1337,0.03044056,1.698497E-11,-9.843374E-07,NaN,NaN,NaN,NaN,NaN,
1339,-0.003577688,5.791216E-12,-9.843258E-07,NaN,NaN,NaN,NaN,NaN,
1341,-0.03667186,-3.267914E-12,-9.843322E-07,NaN,NaN,NaN,NaN,NaN,
1343,-0.06076029,-5.593437E-12,-9.843435E-07,NaN,NaN,NaN,NaN,NaN,
1345,-0.06981303,-3.198496E-12,-9.843499E-07,NaN,NaN,NaN,NaN,NaN,
1347,-0.06177833,5.409414E-12,-9.843391E-07,NaN,NaN,NaN,NaN,NaN,
1349,-0.03848867,1.741884E-11,-9.843042E-07,NaN,NaN,NaN,NaN,NaN,
1351,-0.005739068,2.993154E-11,-9.842444E-07,NaN,NaN,NaN,NaN,NaN,
1353,0.02848278,4.024021E-11,-9.841639E-07,NaN,NaN,NaN,NaN,NaN,
1355,0.05581328,4.522099E-11,-9.840734E-07,NaN,NaN,NaN,NaN,NaN,
1357,0.06947069,4.447474E-11,-9.839845E-07,NaN,NaN,NaN,NaN,NaN,
1359,0.06618164,3.66825E-11,-9.839111E-07,NaN,NaN,NaN,NaN,NaN,
1361,0.04674488,2.40136E-11,-9.838631E-07,NaN,NaN,NaN,NaN,NaN,
1363,0.01590606,1.040755E-11,-9.838423E-07,NaN,NaN,NaN,NaN,NaN,
1365,-0.01875434,1.211609E-14,-9.838423E-07,NaN,NaN,NaN,NaN,NaN,
1367,-0.04877872,-6.947101E-12,-9.838561E-07,NaN,NaN,NaN,NaN,NaN,
1369,-0.06677457,-8.404891E-12,-9.83873E-07,NaN,NaN,NaN,NaN,NaN,
1371,-0.06834079,-2.313408E-12,-9.838776E-07,NaN,NaN,NaN,NaN,NaN,
1373,-0.05310148,9.192728E-12,-9.838592E-07,NaN,NaN,NaN,NaN,NaN,
1375,-0.02475295,2.278142E-11,-9.838136E-07,NaN,NaN,NaN,NaN,NaN,
1377,0.009703835,3.532883E-11,-9.83743E-07,NaN,NaN,NaN,NaN,NaN,
1379,0.04184262,4.286076E-11,-9.836573E-07,NaN,NaN,NaN,NaN,NaN,
1381,0.06380098,4.393674E-11,-9.835694E-07,NaN,NaN,NaN,NaN,NaN,
1383,0.07015982,3.930305E-11,-9.834907E-07,NaN,NaN,NaN,NaN,NaN,
1385,0.0594469,2.946296E-11,-9.834318E-07,NaN,NaN,NaN,NaN,NaN,
1387,0.03416815,1.708909E-11,-9.833976E-07,NaN,NaN,NaN,NaN,NaN,
1389,0.0005884503,5.35735E-12,-9.833869E-07,NaN,NaN,NaN,NaN,NaN,
1391,-0.03306956,-4.847187E-12,-9.833966E-07,NaN,NaN,NaN,NaN,NaN,
1393,-0.05856758,-8.682566E-12,-9.83414E-07,NaN,NaN,NaN,NaN,NaN,
